article_url,publisher,discovery_query,title,published_at,gate_verdict,gate_rule,in_date_window,has_comments_confirmed,keep
https://thanhnien.vn/xem-nhanh-20h-ngay-1010-ha-noi-phat-canh-bao-ngap-lut-400-xe-di-tren-via-he-trong-30-phut-bi-csgt-ghi-hinh-185251010183807251.htm,Thanh Nien,ngập lụt Hà Nội,Xem nhanh 20h ngày 10.10: Hà Nội phát cảnh báo ngập lụt | 400 xe đi trên vỉa hè bị CSGT ghi hình,2025-10-10T20:19:00+07:00,accept,du_3_nhom,yes,yes,1
https://thanhnien.vn/ho-tro-nguoi-dan-vung-lut-ha-noi-bo-cong-an-dieu-dong-xe-dac-chung-loi-nuoc-185251010194345437.htm,Thanh Nien,ngập lụt Hà Nội,"Hỗ trợ người dân vùng lụt Hà Nội, Bộ Công an điều động xe đặc chủng lội nước",2025-10-10T19:43:00+07:00,accept,du_3_nhom,yes,yes,1
https://thanhnien.vn/bo-cong-an-dua-xe-dac-chung-loi-nuoc-ho-tro-dan-vung-lut-ha-noi-18525101016363163.htm,Thanh Nien,ngập lụt Hà Nội,Bộ Công an đưa xe đặc chủng lội nước hỗ trợ dân vùng lụt Hà Nội,2025-10-10T17:13:00+07:00,accept,du_3_nhom,yes,yes,1
https://thanhnien.vn/canh-bao-nguy-co-lu-quet-sat-lo-sau-bao-matmo-18525100722354091.htm,Thanh Nien,ngập lụt Hà Nội,"Cảnh báo nguy cơ lũ quét, sạt lở sau bão Matmo",2025-10-08T06:32:00+07:00,reject,thieu_nhom:A_ngap_lut,yes,yes,0
https://thanhnien.vn/doc-la-bo-anh-dam-cuoi-ngap-nuoc-ca-lang-loi-nuoc-o-ha-noi-185260921150908392.htm,Thanh Nien,Hà Nội ngập,"Độc lạ bộ ảnh đám cưới ngập nước, cả làng lội nước ở Hà Nội",2026-09-21T16:00:00+07:00,accept,du_3_nhom,no,yes,0
https://thanhnien.vn/lang-hoa-tay-tuu-ung-ru-nong-dan-tho-dai-truoc-nguy-co-mat-trang-185260919225526483.htm,Thanh Nien,Hà Nội ngập,"Làng hoa Tây Tựu úng rũ, nông dân thở dài trước nguy cơ mất trắng",2026-09-20T05:17:00+07:00,reject,thieu_nhom:A_ngap_lut+C_dia_diem,no,yes,0
https://thanhnien.vn/ngap-lut-nhieu-noi-nguoi-ha-noi-vuot-song-tren-pho-185260917222322609.htm,Thanh Nien,Hà Nội ngập,"Ngập lụt nhiều nơi, người Hà Nội vượt sông trên phố",2026-09-18T06:43:00+07:00,accept,du_3_nhom,no,yes,0
https://thanhnien.vn/khu-dan-cu-o-ha-noi-ngap-3-ngay-nguoi-dan-chat-vat-sinh-hoat-185260917201929816.htm,Thanh Nien,Hà Nội ngập,"Khu dân cư ở Hà Nội ngập 3 ngày, người dân chật vật sinh hoạt",2026-09-17T20:34:00+07:00,accept,du_3_nhom,no,yes,0
https://thanhnien.vn/xom-nho-ngoai-thanh-ha-noi-ngap-sau-nguoi-dan-mang-so-do-chay-lu-185260917185017252.htm,Thanh Nien,Hà Nội ngập,"Xóm nhỏ ngoại thành Hà Nội ngập sâu, người dân mang sổ đỏ chạy lũ",2026-09-17T19:43:00+07:00,accept,du_3_nhom,no,yes,0
https://thanhnien.vn/kiep-nan-ra-duong-sang-giua-tuan-o-ha-noi-gui-xe-may-nha-nguoi-la-vi-ngap-185260917180847776.htm,Thanh Nien,Hà Nội ngập,Kiếp nạn ra đường sáng giữa tuần ở Hà Nội: Gửi xe máy nhà người lạ vì ngập,2026-09-17T18:23:00+07:00,accept,du_3_nhom,no,yes,0
